date,BACI_date,sample_event,site,species,subsample,index,time,Behaviors,max_time_tally,DistPerTime_Median,DistPerTime_Mean,mean_nnd,median_nnd,fish_length_mm,num_fish_in_subsample,volume_occupied_all_cm3,volume_occupied_forage_cm3,points_in_sample,repeat_index,Total_Volume_Occupied
2018-06-30,2018-06-29,Before,18.2,Omykiss,1,1,510.00293,Search Forage,1,5.030065061818238,5.060834008523004,48.633164275041985,48.633164275041985,55.1,2,54.30901,54.31,7,1,54.30901
2018-06-30,2018-06-29,Before,18.2,Omykiss,1,1,513.00293,Search Forage,1,5.030065061818238,5.060834008523004,48.633164275041985,48.633164275041985,55.1,2,54.30901,54.31,7,1,54.30901
2018-06-30,2018-06-29,Before,18.2,Omykiss,1,1,516.00293,Search Forage,1,5.030065061818238,5.060834008523004,48.633164275041985,48.633164275041985,55.1,2,54.30901,54.31,7,1,54.30901
2018-06-30,2018-06-29,Before,18.2,Omykiss,1,1,519.00293,Search Forage,1,5.030065061818238,5.060834008523004,48.633164275041985,48.633164275041985,55.1,2,54.30901,54.31,7,1,54.30901
2018-06-30,2018-06-29,Before,18.2,Omykiss,1,1,522.00293,Search Forage,1,5.030065061818238,5.060834008523004,48.633164275041985,48.633164275041985,55.1,2,54.30901,54.31,7,1,54.30901
2018-06-30,2018-06-29,Before,18.2,Omykiss,1,1,534.00293,Search Forage,NA,5.030065061818238,5.060834008523004,48.633164275041985,48.633164275041985,55.1,2,54.30901,54.31,7,1,54.30901
2018-06-30,2018-06-29,Before,18.2,Omykiss,1,1,537.00293,Search Forage,1,5.030065061818238,5.060834008523004,48.633164275041985,48.633164275041985,55.1,2,54.30901,54.31,7,1,54.30901
2018-06-30,2018-06-29,Before,18.2,Omykiss,1,5,528.00293,Drift Forage,1,5.28540453191981,5.28540453191981,NA,NA,66.2,2,NA,NA,3,5,54.30901
2018-06-30,2018-06-29,Before,18.2,Omykiss,1,5,531.00293,Drift Forage,1,5.28540453191981,5.28540453191981,NA,NA,66.2,2,NA,NA,3,5,54.30901
2018-06-30,2018-06-29,Before,18.2,Omykiss,1,5,534.00293,Drift Forage,2,5.28540453191981,5.28540453191981,NA,NA,66.2,2,NA,NA,3,5,54.30901
2018-06-30,2018-06-29,Before,18.2,Omykiss,2,3,633.00293,Drift Forage,2,6.414866541646542,6.527995188479774,NA,NA,68,2,2.946299,2.946299,6,3,208.991399
2018-06-30,2018-06-29,Before,18.2,Omykiss,2,3,636.00293,Drift Forage,2,6.414866541646542,6.527995188479774,NA,NA,68,2,2.946299,2.946299,6,3,208.991399
2018-06-30,2018-06-29,Before,18.2,Omykiss,2,3,639.00293,Search Forage,2,6.414866541646542,6.527995188479774,NA,NA,68,2,2.946299,2.946299,6,3,208.991399
2018-06-30,2018-06-29,Before,18.2,Omykiss,2,3,642.00293,Drift Forage,2,6.414866541646542,6.527995188479774,NA,NA,68,2,2.946299,2.946299,6,3,208.991399
2018-06-30,2018-06-29,Before,18.2,Omykiss,2,3,648.00293,Drift Forage,2,6.414866541646542,6.527995188479774,NA,NA,68,2,2.946299,2.946299,6,3,208.991399
2018-06-30,2018-06-29,Before,18.2,Omykiss,2,4,630.00293,Drift Forage,1,6.252894339399875,7.094445824934141,45.63046411912536,46.13215505679818,89.1,2,206.0451,206.0451,5,4,208.991399
2018-06-30,2018-06-29,Before,18.2,Omykiss,2,4,633.00293,Drift Forage,NA,6.252894339399875,7.094445824934141,45.63046411912536,46.13215505679818,89.1,2,206.0451,206.0451,5,4,208.991399
